date,station,depth,inc.temp,subs,conc.uM,rep,treatment,time,fl,std,air.temp
10/22/13,st 1,5,17,leu,50,1,live,17:16,2716,,
10/22/13,st 1,5,17,leu,100,1,live,17:17,4068,,
10/22/13,st 1,5,17,leu,150,1,live,17:17,5005,,
10/22/13,st 1,5,17,leu,200,1,live,17:17,6439,,
10/22/13,st 1,5,17,leu,250,1,live,17:17,7073,,
10/22/13,st 1,5,17,leu,300,1,live,17:17,10773,,
10/22/13,st 1,5,17,leu,400,1,live,17:18,8704,,
10/22/13,st 1,5,17,leu,400,2,live,17:18,9157,,
10/22/13,st 1,5,17,leu,400,3,live,17:18,9425,,
10/22/13,st 1,5,17,leu,400,1,killed,17:18,6457,,
10/22/13,st 1,5,17,leu,400,2,killed,17:19,6631,,
10/22/13,st 1,5,17,leu,400,3,killed,17:19,6529,,
10/22/13,st 1,5,17,pyr,0,1,live,17:20,156.2,806.7,21.9
10/22/13,st 1,5,17,pyr,50,1,live,17:20,1135,,
10/22/13,st 1,5,17,pyr,100,1,live,17:20,1742,,
10/22/13,st 1,5,17,pyr,150,1,live,17:20,2542,,
10/22/13,st 1,5,17,pyr,200,1,live,17:20,3345,,
10/22/13,st 1,5,17,pyr,250,1,live,17:21,3900,,
10/22/13,st 1,5,17,pyr,300,1,live,17:21,4526,,
10/22/13,st 1,5,17,pyr,400,1,live,17:21,5785,,
10/22/13,st 1,5,17,pyr,400,2,live,17:22,5833,,
10/22/13,st 1,5,17,pyr,400,3,live,17:22,5828,,
10/22/13,st 1,5,17,pyr,400,1,killed,17:22,5571,,
10/22/13,st 1,5,17,pyr,400,2,killed,17:22,5641,,
10/22/13,st 1,5,17,pyr,400,3,killed,17:22,5686,,
10/22/13,st 1,5,17,ala-ala-phe,0,1,live,17:23,159.6,807.9,21.9
10/22/13,st 1,5,17,ala-ala-phe,50,1,live,17:23,1539,,
10/22/13,st 1,5,17,ala-ala-phe,100,1,live,17:24,2105,,
10/22/13,st 1,5,17,ala-ala-phe,150,1,live,17:24,2861,,
10/22/13,st 1,5,17,ala-ala-phe,200,1,live,17:24,3768,,
10/22/13,st 1,5,17,ala-ala-phe,250,1,live,17:24,4698,,
10/22/13,st 1,5,17,ala-ala-phe,300,1,live,17:24,5289,,
10/22/13,st 1,5,17,ala-ala-phe,400,1,live,17:25,7081,,
10/22/13,st 1,5,17,ala-ala-phe,400,2,live,17:25,7018,,
10/22/13,st 1,5,17,ala-ala-phe,400,3,live,17:25,7023,,
10/22/13,st 1,5,17,ala-ala-phe,400,1,killed,17:26,6563,,
10/22/13,st 1,5,17,ala-ala-phe,400,2,killed,17:26,6510,,
10/22/13,st 1,5,17,ala-ala-phe,400,3,killed,17:26,6298,,
10/22/13,st 1,5,17,arg,0,1,live,18:10,158.6,,
10/22/13,st 1,5,17,arg,50,1,live,18:10,1210,,
10/22/13,st 1,5,17,arg,100,1,live,18:10,2181,,
10/22/13,st 1,5,17,arg,150,1,live,18:10,2350,,
10/22/13,st 1,5,17,arg,200,1,live,18:10,2882,,
10/22/13,st 1,5,17,arg,250,1,live,18:11,3404,,
10/22/13,st 1,5,17,arg,300,1,live,18:11,3921,,
10/22/13,st 1,5,17,arg,400,1,live,18:11,5357,,
10/22/13,st 1,5,17,arg,400,2,live,18:11,4575,,
10/22/13,st 1,5,17,arg,400,3,live,18:11,4260,,
10/22/13,st 1,5,17,arg,400,1,killed,18:12,3614,,
10/22/13,st 1,5,17,arg,400,2,killed,18:12,4059,,
10/22/13,st 1,5,17,arg,400,3,killed,18:12,3709,,
10/22/13,st 1,5,17,gly,0,1,live,18:13,155.3,,
10/22/13,st 1,5,17,gly,50,1,live,18:13,2117,,
10/22/13,st 1,5,17,gly,100,1,live,18:13,3239,,
10/22/13,st 1,5,17,gly,150,1,live,18:14,4294,,
10/22/13,st 1,5,17,gly,200,1,live,18:14,5621,,
10/22/13,st 1,5,17,gly,250,1,live,18:14,6438,,
10/22/13,st 1,5,17,gly,300,1,live,18:14,7247,,
10/22/13,st 1,5,17,gly,400,1,live,18:14,9029,,
10/22/13,st 1,5,17,gly,400,2,live,18:15,9379,,
10/22/13,st 1,5,17,gly,400,3,live,18:15,9001,,
10/22/13,st 1,5,17,gly,400,1,killed,18:15,8868,,
10/22/13,st 1,5,17,gly,400,2,killed,18:15,8340,,
10/22/13,st 1,5,17,gly,400,3,killed,18:16,8229,,
10/22/13,st 1,5,17,leu,0,1,live,18:19,156.2,,
10/22/13,st 1,5,17,leu,50,1,live,18:19,3030,,
10/22/13,st 1,5,17,leu,100,1,live,18:20,4491,,
10/22/13,st 1,5,17,leu,150,1,live,18:20,5364,,
10/22/13,st 1,5,17,leu,200,1,live,18:20,6981,,
10/22/13,st 1,5,17,leu,250,1,live,18:20,7721,,
10/22/13,st 1,5,17,leu,300,1,live,18:21,12490,,
